subclade	alias of	unaliased name	parent
A		A	none
A.1		A.1	A
A.2		A.2	A
A.3		A.3	A
A.3.1		A.3.1	A.3
A.3.1.1		A.3.1.1	A.3.1
A.3.2		A.3.2	A.3
A.3.3		A.3.3	A.3
B		B	none
C	A.3.1.2	A.3.1.2	A.3.1
C.1		A.3.1.2.1	C
C.2		A.3.1.2.2	C
C.3		A.3.1.2.3	C
C.3.1		A.3.1.2.3.1	C.3
C.3.2		A.3.1.2.3.2	C.3
C.4		A.3.1.2.4	C
C.5		A.3.1.2.5	C
C.5.1		A.3.1.2.5.1	C.5
C.5.2		A.3.1.2.5.2	C.5
C.5.3		A.3.1.2.5.3	C.5
C.5.4		A.3.1.2.5.4	C.5
C.5.5		A.3.1.2.5.5	C.5
C.5.6		A.3.1.2.5.6	C.5
C.5.6.1		A.3.1.2.5.6.1	C.5.6
C.5.7		A.3.1.2.5.7	C.5
